UWI,depth,latitude,longitude,gamma,neutron porosity,pe,sp,member,formation
4900722319,1931,41.61984,107.912908,69.7763,0.4026,5.547,25.546,Tfob,Tfu
4900722319,1931.5,41.61984,107.912908,67.3255,0.4106,5.671,25.3432,Tfob,Tfu
4900722319,1932,41.61984,107.912908,62.8953,0.4198,5.7277,25.5956,Tfob,Tfu
4900722319,1932.5,41.61984,107.912908,62.1883,0.423,5.6804,25.4527,Tfob,Tfu
4900722319,1933,41.61984,107.912908,64.7098,0.43,5.5389,24.8077,Tfob,Tfu
4900722319,1933.5,41.61984,107.912908,70.3183,0.4386,5.4073,24.5684,Tfob,Tfu
4900722319,1934,41.61984,107.912908,69.5642,0.4385,5.3783,24.4561,Tfob,Tfu
4900722319,1934.5,41.61984,107.912908,64.1207,0.432,5.4286,24.7581,Tfob,Tfu
4900722319,1935,41.61984,107.912908,61.0572,0.4304,5.4635,24.71,Tfob,Tfu
4900722319,1935.5,41.61984,107.912908,60.0675,0.4403,5.4194,24.1365,Tfob,Tfu
4900722319,1936,41.61984,107.912908,60.7037,0.4543,5.2384,23.4026,Tfob,Tfu
4900722319,1936.5,41.61984,107.912908,59.2191,0.4572,4.9374,23.1501,Tfob,Tfu
4900722319,1937,41.61984,107.912908,57.4282,0.4523,4.7081,22.8627,Tfob,Tfu
4900722319,1937.5,41.61984,107.912908,53.9641,0.466,4.6838,22.8393,Tfob,Tfu
4900722319,1938,41.61984,107.912908,55.5901,0.4957,4.7981,22.9065,Tfob,Tfu
4900722319,1938.5,41.61984,107.912908,59.4076,0.5041,4.789,22.4191,Tfob,Tfu
4900722319,1939,41.61984,107.912908,61.9055,0.4889,4.5425,22.1959,Tfob,Tfu
4900722319,1939.5,41.61984,107.912908,60.8215,0.4726,4.2129,21.9974,Tfob,Tfu
4900722319,1940,41.61984,107.912908,61.0101,0.4528,4.0148,21.9245,Tfob,Tfu
4900722319,1940.5,41.61984,107.912908,61.6228,0.4437,4.0009,22.2236,Tfob,Tfu
4900722319,1941,41.61984,107.912908,59.4783,0.4507,4.01,22.8452,Tfob,Tfu
4900722319,1941.5,41.61984,107.912908,56.839,0.4455,3.9282,22.9006,Tfob,Tfu
4900722319,1942,41.61984,107.912908,56.9569,0.4234,3.8427,22.406,Tfob,Tfu
4900722319,1942.5,41.61984,107.912908,58.0173,0.401,3.9483,22.7868,Tfob,Tfu
4900722319,1943,41.61984,107.912908,57.004,0.3983,4.3383,23.0509,Tfob,Tfu
4900722319,1943.5,41.61984,107.912908,56.4856,0.3964,4.8598,23.5952,Tfob,Tfu
4900722319,1944,41.61984,107.912908,57.3103,0.3597,5.1935,23.9702,Tfob,Tfu
4900722319,1944.5,41.61984,107.912908,55.9671,0.3061,5.1259,24.3072,Tfob,Tfu
4900722319,1945,41.61984,107.912908,54.6475,0.2656,4.7151,24.5115,Tfob,Tfu
4900722319,1945.5,41.61984,107.912908,56.1321,0.2576,4.265,24.5684,Tfob,Tfu
4900722319,1946,41.61984,107.912908,58.0173,0.2901,3.9431,24.3102,Tfob,Tfu
4900722319,1946.5,41.61984,107.912908,58.4886,0.336,3.8421,24.4313,Tfob,Tfu
4900722319,1947,41.61984,107.912908,55.9907,0.3741,3.9301,25.279,Tfob,Tfu
4900722319,1947.5,41.61984,107.912908,54.5061,0.4035,4.1923,25.6438,Tfob,Tfu
4900722319,1948,41.61984,107.912908,55.8022,0.4206,4.4634,25.9269,Tfob,Tfu
